temp,humidity,wind,pressure,pm2_5,pm10,co,no2,o3,so2,nh3,aqi
14.11,75,0.45,1020,4.71,10.81,135.4,6.88,66.71,0.33,16.07,2
14.33,75,0.45,1020,4.71,10.81,135.4,6.88,66.71,0.33,16.07,2
35.84,24,3.09,1009,28.41,116.85,187.29,14.91,90.17,7.62,0.4,4
33.02,38,3.6,1010,18.07,97.68,113.88,0.73,109.45,1.0,0.06,3
36.0,24,3.6,1010,31.45,122.41,182.82,14.42,93.22,6.91,0.52,4
20.79,40,1.22,1012,6.63,10.83,428.16,1.62,73.51,0.24,2.23,2
28.16,20,2.47,1010,4.33,18.6,109.02,0.14,95.47,0.12,0.2,2
28.07,39,4.43,1010,1.59,4.26,93.22,0.08,82.38,0.1,0.24,2
23.43,85,2.06,1012,1.8,3.79,112.32,1.33,50.56,1.09,0.0,1
12.51,54,0.51,1016,3.74,5.83,137.16,2.41,97.62,1.79,3.59,2
13.23,50,1.27,1016,3.9,5.9,139.26,2.12,108.79,1.93,2.66,3
15.32,50,1.85,1015,4.23,7.96,135.69,1.55,117.12,2.04,1.95,3
16.09,39,2.57,1009,10.55,28.92,105.39,0.42,114.93,3.62,0.83,3
11.84,47,7.72,1009,7.54,17.23,104.05,0.38,108.18,2.65,1.15,3
12.43,53,8.54,1008,7.91,21.51,105.08,0.47,108.64,2.47,1.88,3
25.0,88,2.57,1011,13.63,47.02,68.78,0.04,40.65,0.36,0.0,2
15.92,100,1.03,1014,20.57,92.09,78.91,0.37,19.68,0.09,0.26,3
17.89,94,1.03,1014,2.99,3.77,113.51,1.36,7.93,0.11,0.2,1
13.22,93,2.45,1018,16.44,24.53,486.11,22.34,16.13,2.57,0.21,2
15.96,72,2.03,1017,13.59,19.66,225.03,3.6,29.1,0.13,0.38,2
14.99,75,1.31,1018,20.54,28.34,414.6,8.25,28.66,0.5,0.26,2
13.66,51,9.83,1018,8.36,10.81,175.47,7.61,70.99,1.19,9.02,2
12.67,55,0.45,1018,13.21,19.38,225.88,10.3,33.44,0.57,6.02,2
11.66,49,3.09,1020,8.17,9.21,139.22,3.82,86.6,0.82,6.72,2
20.67,74,4.12,1031,1.15,3.18,66.15,0.86,54.86,0.7,0.07,1
22.19,43,4.12,1027,3.69,5.22,88.05,3.47,67.13,1.83,0.46,2
19.72,72,5.14,1025,1.88,1.92,75.1,0.7,45.38,0.07,0.09,1
26.03,80,7.15,1010,1.62,4.72,104.68,2.42,36.61,2.57,0.83,1
26.1,81,5.14,1010,1.62,4.72,104.68,2.42,36.61,2.57,0.83,1
25.97,81,5.14,1010,1.62,4.72,104.68,2.42,36.61,2.57,0.83,1
12.03,76,3.09,1009,9.49,27.0,140.9,2.27,88.19,1.24,1.46,2
12.0,79,1.44,1009,9.53,26.09,142.9,2.76,82.27,1.39,2.7,2
14.48,51,12.35,1010,8.58,23.94,116.05,0.83,99.47,1.02,4.17,2
5.95,75,0.51,1019,4.5,5.62,140.56,1.65,91.98,1.8,4.4,2
12.74,50,1.54,1019,6.76,8.24,135.47,2.48,84.02,0.72,8.39,2
9.46,71,0.9,1019,5.79,7.17,141.15,2.53,81.31,0.88,6.36,2
26.27,83,3.09,1011,0.66,2.33,114.83,0.05,22.34,0.07,0.0,1
33.99,59,1.54,1005,27.08,45.26,151.55,0.69,78.67,1.59,1.83,3
32.91,58,5.66,1007,12.41,28.39,119.33,0.04,40.85,0.28,0.0,2
34.0,59,1.54,1005,28.0,45.94,157.02,0.93,80.81,1.8,2.32,3
3.08,100,1.54,1026,16.22,19.26,170.11,7.26,51.76,0.53,7.53,2
6.66,92,3.13,1026,15.06,18.91,192.28,16.49,50.44,1.66,8.04,2
6.28,96,3.2,1026,18.74,22.5,214.18,15.36,52.37,1.67,10.11,2
30.06,48,4.12,1007,14.17,36.15,166.19,0.6,28.57,0.09,1.64,2
28.25,65,3.6,1007,8.22,14.39,177.22,0.71,23.14,0.06,1.25,1
31.14,23,2.68,1007,15.34,37.01,166.58,0.51,27.18,0.07,1.59,2
