pm2_5,pm10,co,no2,so2,o3,temp,humidity,pressure,wind_speed,aqi_label
4.71,10.81,135.4,6.88,0.33,66.71,14.11,75,1020,0.45,fair
4.71,10.81,135.4,6.88,0.33,66.71,14.33,75,1020,0.45,fair
28.41,116.85,187.29,14.91,7.62,90.17,35.84,24,1009,3.09,poor
18.07,97.68,113.88,0.73,1.0,109.45,33.02,38,1010,3.6,moderate
31.45,122.41,182.82,14.42,6.91,93.22,36.0,24,1010,3.6,poor
6.63,10.83,428.16,1.62,0.24,73.51,20.79,40,1012,1.22,fair
4.33,18.6,109.02,0.14,0.12,95.47,28.16,20,1010,2.47,fair
1.59,4.26,93.22,0.08,0.1,82.38,28.07,39,1010,4.43,fair
1.8,3.79,112.32,1.33,1.09,50.56,23.43,85,1012,2.06,good
3.74,5.83,137.16,2.41,1.79,97.62,12.51,54,1016,0.51,fair
3.9,5.9,139.26,2.12,1.93,108.79,13.23,50,1016,1.27,moderate
4.23,7.96,135.69,1.55,2.04,117.12,15.32,50,1015,1.85,moderate
10.55,28.92,105.39,0.42,3.62,114.93,16.09,39,1009,2.57,moderate
7.54,17.23,104.05,0.38,2.65,108.18,11.84,47,1009,7.72,moderate
7.91,21.51,105.08,0.47,2.47,108.64,12.43,53,1008,8.54,moderate
13.63,47.02,68.78,0.04,0.36,40.65,25.0,88,1011,2.57,fair
20.57,92.09,78.91,0.37,0.09,19.68,15.92,100,1014,1.03,moderate
2.99,3.77,113.51,1.36,0.11,7.93,17.89,94,1014,1.03,good
16.44,24.53,486.11,22.34,2.57,16.13,13.22,93,1018,2.45,fair
13.59,19.66,225.03,3.6,0.13,29.1,15.96,72,1017,2.03,fair
20.54,28.34,414.6,8.25,0.5,28.66,14.99,75,1018,1.31,fair
8.36,10.81,175.47,7.61,1.19,70.99,13.66,51,1018,9.83,fair
13.21,19.38,225.88,10.3,0.57,33.44,12.67,55,1018,0.45,fair
8.17,9.21,139.22,3.82,0.82,86.6,11.66,49,1020,3.09,fair
1.15,3.18,66.15,0.86,0.7,54.86,20.67,74,1031,4.12,good
3.69,5.22,88.05,3.47,1.83,67.13,22.19,43,1027,4.12,fair
1.88,1.92,75.1,0.7,0.07,45.38,19.72,72,1025,5.14,good
1.62,4.72,104.68,2.42,2.57,36.61,26.03,80,1010,7.15,good
1.62,4.72,104.68,2.42,2.57,36.61,26.1,81,1010,5.14,good
1.62,4.72,104.68,2.42,2.57,36.61,25.97,81,1010,5.14,good
9.49,27.0,140.9,2.27,1.24,88.19,12.03,76,1009,3.09,fair
9.53,26.09,142.9,2.76,1.39,82.27,12.0,79,1009,1.44,fair
8.58,23.94,116.05,0.83,1.02,99.47,14.48,51,1010,12.35,fair
4.5,5.62,140.56,1.65,1.8,91.98,5.95,75,1019,0.51,fair
6.76,8.24,135.47,2.48,0.72,84.02,12.74,50,1019,1.54,fair
5.79,7.17,141.15,2.53,0.88,81.31,9.46,71,1019,0.9,fair
0.66,2.33,114.83,0.05,0.07,22.34,26.27,83,1011,3.09,good
27.08,45.26,151.55,0.69,1.59,78.67,33.99,59,1005,1.54,moderate
12.41,28.39,119.33,0.04,0.28,40.85,32.91,58,1007,5.66,fair
28.0,45.94,157.02,0.93,1.8,80.81,34.0,59,1005,1.54,moderate
16.22,19.26,170.11,7.26,0.53,51.76,3.08,100,1026,1.54,fair
15.06,18.91,192.28,16.49,1.66,50.44,6.66,92,1026,3.13,fair
18.74,22.5,214.18,15.36,1.67,52.37,6.28,96,1026,3.2,fair
14.17,36.15,166.19,0.6,0.09,28.57,30.06,48,1007,4.12,fair
8.22,14.39,177.22,0.71,0.06,23.14,28.25,65,1007,3.6,good
15.34,37.01,166.58,0.51,0.07,27.18,31.14,23,1007,2.68,fair
6.32,7.3,129.02,1.21,2.61,99.71,8.77,49,1015,1.03,fair
3.74,4.62,130.63,1.03,0.73,77.27,15.11,38,1014,8.75,fair
6.13,7.55,133.44,1.41,1.25,85.58,16.03,47,1012,5.14,fair
43.69,122.29,168.27,15.91,30.82,116.55,26.98,50,1010,4.63,poor
47.76,141.42,165.3,17.56,32.36,113.21,26.97,50,1010,4.63,poor
46.82,149.09,159.45,15.49,28.44,110.74,26.79,49,1011,4.86,poor
0.51,0.65,79.66,0.31,0.03,16.27,26.84,69,1013,1.03,good
1.55,2.87,127.37,1.56,0.23,18.14,18.06,83,1014,1.96,good
3.08,6.21,185.76,1.63,0.41,17.16,17.29,86,1014,1.37,good
1.39,5.11,81.78,0.08,0.14,27.42,28.99,84,1009,6.69,good
1.36,4.87,85.82,0.11,0.16,26.87,28.92,84,1009,6.69,good
1.49,5.61,81.42,0.07,0.14,27.28,28.9,77,1009,4.74,good
0.95,1.03,129.93,0.19,0.13,30.59,34.03,46,1007,4.12,good
0.95,1.03,129.93,0.19,0.13,30.59,33.99,46,1007,4.12,good
0.81,0.88,127.73,0.15,0.1,28.9,34.0,46,1007,4.12,good
1.44,2.22,91.54,1.43,0.14,18.02,6.99,93,1021,1.03,good
0.96,1.15,91.3,0.35,0.02,4.12,20.69,100,1014,2.57,good
0.61,0.82,86.66,0.92,0.09,11.46,13.84,82,1016,1.54,good
2.47,4.59,75.15,1.0,0.26,16.45,18.85,88,1020,3.09,good
0.69,2.64,72.33,0.07,0.05,39.15,21.94,94,1017,1.54,good
6.15,8.65,92.13,1.55,0.66,46.37,17.71,80,1019,1.63,good
1.89,9.22,118.56,0.16,0.19,97.04,21.99,68,1014,2.57,fair
2.14,9.24,115.13,0.39,0.86,100.36,16.96,88,1015,2.06,moderate
2.14,9.24,115.13,0.39,0.86,100.36,16.97,88,1015,2.06,moderate
50.28,56.6,347.46,1.52,2.62,133.48,20.06,47,1010,3.0,poor
53.19,62.29,319.23,1.71,2.3,106.04,31.97,52,1009,2.08,poor
46.58,53.7,302.26,1.33,2.1,117.67,24.8,66,1011,1.33,moderate
0.5,0.74,68.47,1.25,0.45,32.75,15.25,91,1022,4.18,good
0.5,0.5,63.57,0.46,0.39,35.71,14.47,94,1022,6.75,good
0.5,0.74,68.47,1.25,0.45,32.75,15.19,91,1022,4.28,good
1.22,1.98,138.66,1.81,0.39,83.19,5.18,49,1007,5.15,fair
1.29,1.54,138.54,1.17,1.6,84.7,3.99,45,1006,5.0,fair
2.39,3.26,136.97,2.0,0.95,86.45,7.02,57,1011,6.0,fair
2.39,6.23,88.52,0.22,0.07,25.19,27.23,1,1010,5.67,good
2.29,6.13,93.18,0.14,0.1,37.38,27.18,77,1010,7.95,good
2.25,5.03,93.6,0.41,0.09,27.38,22.51,94,1010,2.46,good
17.54,19.75,265.47,16.99,2.01,47.87,8.32,67,1012,0.0,fair
1.78,2.81,170.17,4.44,1.8,65.15,1.21,58,1014,3.6,fair
0.5,0.5,128.15,0.42,0.02,79.05,-0.65,60,1018,9.26,fair
3.7,5.74,154.2,0.88,0.3,3.53,22.2,94,1011,2.06,good
1.83,3.09,127.57,0.28,1.91,27.1,19.86,79,1015,5.34,good
1.2,2.41,85.78,0.27,0.04,8.1,25.09,74,1011,0.67,good
0.5,0.5,84.31,0.02,0.0,3.82,24.1,88,1010,2.57,good
0.5,0.5,84.31,0.02,0.0,3.82,23.96,88,1010,2.57,good
0.5,0.5,85.64,0.02,0.0,3.85,23.72,88,1010,2.57,good
3.7,5.74,154.2,0.88,0.3,3.53,22.2,94,1011,2.06,good
5.42,12.95,76.54,0.14,0.15,34.51,25.04,94,1010,1.03,good
6.07,8.64,122.34,1.57,0.33,29.1,23.72,92,1011,1.32,good
6.82,7.51,134.27,4.03,2.27,93.72,10.23,60,1021,1.34,fair
13.55,16.04,181.68,7.35,0.83,27.54,11.19,54,1021,1.03,fair
14.75,16.45,194.85,10.29,2.53,65.23,9.94,60,1021,0.51,fair
0.78,2.71,92.14,0.19,0.14,25.31,28.72,89,1009,5.14,good
0.85,2.98,94.41,0.21,0.15,25.54,28.31,89,1009,5.14,good
1.71,3.1,131.03,0.51,0.12,10.64,24.07,89,1009,3.61,good
9.79,13.29,224.3,7.91,0.18,26.06,14.94,60,1020,1.02,good
14.23,17.35,233.61,7.61,0.28,31.59,13.51,51,1020,0.66,fair
9.79,13.29,224.3,7.91,0.18,26.06,14.1,60,1022,1.01,good
0.5,0.5,83.32,0.05,0.01,25.03,25.95,100,1010,1.03,good
1.15,1.42,91.76,0.62,0.05,1.91,22.74,94,1012,1.54,good
6.72,8.52,221.0,1.36,0.23,6.26,21.17,83,1013,0.75,good
73.41,95.49,694.72,47.9,80.1,100.28,23.92,33,1015,3.0,poor
149.94,171.94,396.08,8.18,32.67,195.69,23.94,35,1008,2.85,very_poor
33.83,36.78,484.13,51.13,26.34,19.8,19.78,92,1012,3.07,moderate
23.77,24.53,193.16,3.18,7.26,28.48,12.27,98,1018,0.41,fair
4.39,4.68,119.21,2.34,0.97,14.75,22.03,78,1014,2.06,good
8.19,9.05,170.98,5.45,8.03,6.89,19.37,84,1016,4.47,good
0.5,0.63,102.87,0.53,0.25,26.64,15.95,89,1017,2.57,good
0.99,1.29,141.62,2.27,0.35,28.9,24.19,88,1011,1.68,good
0.5,0.61,102.32,0.39,0.18,26.1,17.62,88,1016,2.57,good
2.74,6.83,118.81,0.39,0.29,69.3,20.85,88,1012,5.96,fair
2.06,2.88,120.79,0.4,1.28,89.14,24.16,83,1013,2.57,fair
2.92,5.93,119.34,0.3,1.01,88.48,20.19,94,1013,2.57,fair
3.32,16.32,108.16,0.14,0.48,74.69,21.27,68,1014,7.2,fair
2.29,11.65,109.41,0.12,0.38,75.15,20.75,68,1015,8.75,fair
3.23,15.09,111.78,0.14,0.51,80.11,21.02,68,1015,6.69,fair
2.21,4.83,102.83,0.69,0.27,34.76,25.86,82,1011,2.57,good
2.21,4.83,102.83,0.69,0.27,34.76,25.94,82,1011,2.57,good
7.08,17.93,117.56,0.2,0.33,94.85,19.76,60,1012,0.0,fair
7.83,18.39,118.43,0.18,0.36,95.91,18.96,72,1012,3.09,fair
7.29,16.07,117.88,0.39,0.48,94.12,20.67,64,1012,2.06,fair
8.34,10.05,138.31,2.49,0.67,81.01,10.93,64,1019,5.66,fair
7.33,8.64,142.36,3.05,1.86,104.17,12.38,54,1018,4.63,moderate
11.11,14.15,147.29,3.25,1.85,82.95,12.5,62,1017,0.51,fair
4.05,7.41,136.63,4.71,1.4,77.83,7.67,82,1019,5.66,fair
3.32,9.32,137.28,4.68,1.38,79.77,8.0,87,1020,6.17,fair
4.11,4.79,130.09,3.69,0.45,80.69,10.9,53,1022,0.89,fair
5.97,22.66,131.22,0.17,0.08,38.22,29.69,71,1009,6.62,fair
8.22,23.42,249.24,0.64,0.37,42.08,27.36,62,1010,8.56,fair
7.12,23.26,172.69,0.42,0.18,39.55,30.82,51,1008,9.13,fair
3.26,6.69,138.18,3.43,1.05,72.49,11.36,76,1016,2.06,fair
2.56,6.86,133.45,2.3,0.59,73.72,9.88,81,1017,2.37,fair
2.63,8.19,130.23,2.4,1.11,80.61,9.53,82,1018,3.1,fair
0.67,1.86,106.39,1.83,1.08,26.5,24.22,78,1012,2.29,good
1.22,3.68,102.2,0.19,0.19,53.58,22.02,93,1012,0.86,good
10.78,12.99,199.71,6.34,1.88,36.33,22.65,93,1013,3.09,fair
1.22,3.68,102.2,0.19,0.19,53.58,22.9,93,1012,0.85,good
8.82,18.61,126.05,6.11,0.71,51.71,16.37,94,1013,3.6,good
7.84,15.82,120.81,6.11,1.06,53.2,16.93,100,1015,3.09,good
49.35,244.41,126.07,3.34,0.89,81.77,12.67,94,1016,3.6,very_poor
16.62,17.86,289.33,8.22,1.37,12.2,7.53,89,1018,0.95,fair
8.79,24.01,119.46,2.23,0.56,35.01,23.93,88,1012,4.63,fair
5.17,6.63,250.12,11.56,0.72,4.16,9.34,86,1019,1.79,good
0.5,0.78,131.49,1.29,0.42,84.63,5.19,75,1006,3.6,fair
1.01,2.15,137.25,1.25,0.22,78.94,6.14,70,1006,4.63,fair
1.96,3.3,149.2,1.91,0.71,73.77,7.25,57,1004,4.0,fair
21.34,74.91,147.5,6.41,13.3,91.55,23.42,23,1010,6.17,moderate
28.09,67.89,138.7,3.25,7.94,86.68,18.9,68,1012,4.12,moderate
21.34,74.91,147.5,6.41,13.3,91.55,23.42,24,1010,5.01,moderate
8.74,55.58,116.5,0.17,0.26,93.47,14.98,88,1017,4.12,moderate
5.34,25.67,108.86,0.2,0.52,84.23,18.01,77,1016,9.26,fair
5.94,34.17,115.43,0.18,0.41,90.72,17.57,77,1016,7.67,fair
6.91,11.73,143.33,0.53,0.1,55.33,17.45,59,1013,1.55,good
7.78,16.31,124.56,0.23,0.06,54.58,25.41,48,1010,1.14,good
10.22,24.84,137.11,0.22,0.05,51.93,31.59,16,1007,2.93,fair
1.84,2.89,105.98,1.8,0.04,42.29,12.95,81,1017,2.06,good
